"id","age_group","sentence","n_letters","trialtime","error_percent","backspaces"
101,"young",1,19,13696,0.0526315789473684,9
101,"young",2,18,11080,0,4
101,"young",3,15,7774,0,1
101,"young",4,19,11943,0,5
101,"young",5,13,5169,0,0
101,"young",6,13,5930,0,0
101,"young",7,21,8905,0,0
101,"young",8,20,7736,0,0
101,"young",9,18,9851,0.0555555555555556,5
101,"young",10,12,7502,0,4
101,"young",11,14,5151,0,0
101,"young",12,24,24856,0,21
101,"young",13,18,9071,0,3
101,"young",14,19,12838,0,6
101,"young",15,19,11433,0,5
101,"young",16,11,3681,0,0
101,"young",17,22,9595,0,0
101,"young",18,24,9413,0,0
101,"young",19,12,6360,0,3
101,"young",20,22,9188,0,1
101,"young",21,22,19007,0,13
101,"young",22,17,7153,0,0
101,"young",23,21,8972,0,1
101,"young",24,11,3100,0,0
101,"young",25,22,14911,0,5
101,"young",26,23,15498,0,8
101,"young",27,18,11102,0,4
101,"young",28,16,10132,0,6
101,"young",29,12,6749,0,1
101,"young",30,20,11715,0,3
101,"young",31,21,10431,0,3
101,"young",32,22,8120,0.0909090909090909,0
101,"young",33,23,8964,0.0434782608695652,0
101,"young",34,18,8076,0,0
101,"young",35,12,5269,0,0
101,"young",36,19,14608,0,8
101,"young",37,14,4913,0,0
101,"young",38,10,7537,0,5
101,"young",39,18,8989,0,0
101,"young",40,11,3432,0,0
101,"young",41,15,6999,0,1
101,"young",42,15,7519,0,1
101,"young",43,21,11503,0,0
101,"young",44,17,9113,0,2
101,"young",45,20,10087,0,2
101,"young",46,21,11031,0,3
101,"young",47,22,10367,0,1
101,"young",48,21,7996,0,0
101,"young",49,18,5401,0,0
101,"young",50,18,7636,0,0
102,"young",1,19,7540,1,0
102,"young",2,18,7956,0,1
102,"young",3,15,4798,0,0
102,"young",4,19,3825,0.789473684210526,0
102,"young",5,13,2716,0.769230769230769,0
102,"young",6,13,5436,0,0
102,"young",7,21,8594,0,0
102,"young",8,20,18718,0,14
102,"young",9,18,6197,0,0
102,"young",10,12,5420,1,0
102,"young",11,14,7006,0,1
102,"young",12,24,9806,0,1
102,"young",14,19,7018,0,0
102,"young",15,19,8930,0.0526315789473684,0
102,"young",16,11,7391,1.45454545454545,0
102,"young",17,22,6281,0.772727272727273,0
102,"young",18,24,9491,0,1
102,"young",20,22,6906,0.727272727272727,0
102,"young",23,21,8223,0,1
102,"young",24,11,4794,1.54545454545455,0
102,"young",25,22,5418,0.727272727272727,0
102,"young",27,18,4773,0.833333333333333,0
102,"young",28,16,5795,0,0
102,"young",29,12,5101,0.833333333333333,1
102,"young",30,20,6313,0,0
102,"young",31,21,5699,0,0
102,"young",32,22,10190,0.0454545454545455,4
102,"young",33,23,5888,0.608695652173913,1
102,"young",34,18,8501,0.833333333333333,1
102,"young",35,12,5338,0.916666666666667,0
102,"young",36,19,5473,0,0
102,"young",37,14,9735,1.21428571428571,2
102,"young",38,10,7661,1.6,3
102,"young",39,18,6676,0,0
102,"young",40,11,9679,1.72727272727273,1
102,"young",41,15,4192,0.933333333333333,0
102,"young",42,15,5351,0,0
102,"young",43,21,3013,0.80952380952381,0
102,"young",44,17,10467,0,2
102,"young",45,20,7961,0.8,1
102,"young",46,21,6641,0,0
102,"young",47,22,7936,0.863636363636364,0
102,"young",48,21,8411,0,0
102,"young",49,18,3303,0.722222222222222,0
102,"young",50,18,3498,0.888888888888889,0
103,"young",1,19,6742,0,0
103,"young",2,18,9236,0,2
103,"young",3,15,9635,0,1
103,"young",4,19,10169,0,1
103,"young",5,13,5942,0,1
103,"young",6,13,6400,0,1
103,"young",7,21,14249,0,9
103,"young",8,20,13508,0,5
103,"young",9,18,13548,0,7
103,"young",10,12,3851,0,0
103,"young",11,14,13719,0,12
103,"young",12,24,14498,0,8
103,"young",13,18,7498,0,0
103,"young",14,19,9579,0,3
103,"young",15,19,6424,0,0
103,"young",16,11,10808,0,8
103,"young",17,22,18840,0,13
103,"young",18,24,14725,0,5
103,"young",19,12,5148,0,2
103,"young",20,22,12728,0,6
103,"young",21,22,10541,0,0
103,"young",22,17,7603,0,1
103,"young",23,21,9380,0,1
103,"young",24,11,3517,0,1
103,"young",25,22,7460,0,0
103,"young",26,23,11194,0,1
103,"young",27,18,7387,0,2
103,"young",28,16,6574,0,1
103,"young",29,12,5193,0,1
103,"young",30,20,11841,0,7
103,"young",31,21,9240,0,4
103,"young",32,22,10391,0,2
103,"young",33,23,9914,0,1
103,"young",34,18,7178,0,2
103,"young",35,12,3746,0,0
103,"young",36,19,12392,0,3
103,"young",37,14,6142,0,0
103,"young",38,10,2977,0,0
103,"young",39,18,7720,0,1
103,"young",40,11,9093,0,1
103,"young",41,15,11210,0,7
103,"young",42,15,4781,0,0
103,"young",43,21,13482,0,4
103,"young",44,17,8761,0,3
103,"young",45,20,11547,0,3
103,"young",46,21,13134,0,8
103,"young",47,22,18901,0,9
103,"young",48,21,12406,0,5
103,"young",49,18,11955,0,7
103,"young",50,18,9930,0,2
104,"young",1,19,3842,0,0
104,"young",2,18,4302,0,0
104,"young",3,15,3236,0,0
104,"young",4,19,4743,0,0
104,"young",5,13,4319,0,2
